"id","bathrooms","heating","macrozone","microzone","price_n","rooms_n","price_sqm","surface_room","geometry","time_to_nearest_metro_mins","time_to_nearest_tram_mins","min_time_to_uni_mins"
127647048,"1","Autonomo","Precotto, Turro","Turro",445,4,8.09090909090909,11,c(9.22383, 45.5012),3.702247453693,14.4112337316388,37.1
127665988,"1","Assente","San Siro, Trenno","San Siro",550,2,36.6666666666667,15,c(9.1326, 45.4693),12.4902445438202,11.7131767291062,69
114859529,"1","Assente","Affori, Bovisa","Affori",560,4,28,20,c(9.1671, 45.5185),5.58964362113274,27.8221530961673,34.9
127622002,"2","Assente","Città Studi, Susa","Città Studi",560,4,31.1111111111111,18,c(9.2335, 45.4688),2.28338578147963,3.63714424065363,22
123434509,"1","Assente","Affori, Bovisa","Bovisa",450,3,26.4705882352941,17,c(9.1693, 45.5004),15.3645482172479,2.14908643187262,17.9
126997543,"1","Assente","Solari, Washington","Washington",510,3,5.36842105263158,25.3333333333333,c(9.1571, 45.4612),7.38708841501898,7.49274398023063,79.6
127443144,"1","Assente","Forlanini","Viale Ungheria - Mecenate",550,3,8.46153846153846,17.3333333333333,c(9.2448, 45.4521),17.992722641097,3.973289829522,55
127585940,"1","Centralizzato","Napoli, Soderini","Tripoli - Soderini",580,5,6.82352941176471,13.6,c(9.1487, 45.4585),7.68619270536649,12.3088479157819,82.7
117416769,"2","Assente","Solari, Washington","Solari",550,4,36.6666666666667,15,c(9.1638, 45.4539),7.52134579208211,2.58552488469074,85.6
122670056,"2","Autonomo","Affori, Bovisa","Vialba",410,4,22.7777777777778,18,c(9.12889, 45.5132),35.0988226666192,2.80747876047923,42.1
126916625,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",500,4,7.93650793650794,12.6,c(9.14018, 45.4544),5.15120261407749,10.225952301839,91.4
126915737,"1","Autonomo","Fiera, Sempione, City Life, Portello","Monte Rosa - Lotto",525,3,6.03448275862069,23.2,c(9.14383, 45.4826),5.04047968726205,13.6982577226339,43.4
126916763,"1","Autonomo","Uptown, Cascina Merlata, Viale Certosa","Certosa",530,4,6.46341463414634,16.4,c(9.14426, 45.4945),17.1543073498478,0.772316414326131,23.4
126915753,"1","Autonomo","Bande Nere, Inganni","Gambara",510,5,6.62337662337662,12.32,c(9.14434, 45.4623),4.81005714527675,10.5401264919321,77.5
126916353,"2","Autonomo","Città Studi, Susa","Città Studi",500,5,33.3333333333333,15,c(9.22085, 45.4753),11.0240482163558,0.623388393711188,9.5
126917217,"2","Autonomo","Bisceglie, Baggio, Olmi","Bisceglie",580,5,5.22522522522523,17.76,c(9.11347, 45.4564),1.85960294223207,25.5269085372808,102.3
126916851,"2","Autonomo","Bande Nere, Inganni","Bande Nere",585,5,39,15,c(9.1365, 45.4552),9.22662479174229,13.5558011729396,88.9
126917221,"1","Autonomo","Uptown, Cascina Merlata, Viale Certosa","Certosa",540,5,6.66666666666667,12.96,c(9.14423, 45.4946),17.2846331327033,0.948418948993478,23.2
126917553,"3","Autonomo","Maggiolina, Istria","Maggiolina",580,5,38.6666666666667,15,c(9.19756, 45.4915),4.94163028067195,5.64162026842396,39.3
126916669,"1","Autonomo","Bande Nere, Inganni","Gambara",580,4,6.51685393258427,17.8,c(9.14358, 45.4633),2.88088567674738,9.92506092537499,75.8
126917441,"1","Autonomo","Bande Nere, Inganni","Gambara",540,4,8.4375,12.8,c(9.14359, 45.4628),3.73034001143834,10.505925409827,76.5
126916817,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",565,4,7.63513513513514,14.8,c(9.13928, 45.4529),4.20773318240698,8.50423070727348,94.3
126917601,"3","Autonomo","Maggiolina, Istria","Maggiolina",555,5,37,15,c(9.19756, 45.4915),4.94163028067195,5.64162026842396,39.3
126917447,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",585,4,9,13,c(9.13777, 45.4542),6.94498852610211,11.4122900427561,94.9
